#acquisition error/standby/quality issue events
Start Time;End Time;Error Description;Error Value
# --- 2025 --- #
2023-02-01 00:01:07;2023-02-01 00:03:40;Missing due to calibration or zero/span check;333.93446666666665
2023-02-01 00:06:07;2023-02-01 00:08:28;Missing due to calibration or zero/span check;309.96404201680673
2023-02-01 00:11:07;2023-02-01 00:12:10;Missing due to calibration or zero/span check;304.60516981132076
2023-02-01 00:15:41;2023-02-01 00:15:41;Missing due to calibration or zero/span check;385.296
2023-02-01 00:15:47;2023-02-01 00:15:47;Missing due to calibration or zero/span check;369.781
2023-02-01 00:16:07;2023-02-01 00:18:35;Missing due to calibration or zero/span check;353.3218444444444
2023-02-01 00:21:07;2023-02-01 00:23:23;Missing due to calibration or zero/span check;214.67774603174604
2023-02-01 00:36:07;2023-02-01 00:39:04;Missing due to calibration or zero/span check;378.90458125
2023-02-01 00:41:07;2023-02-01 00:42:47;Missing due to calibration or zero/span check;434.3607974683544
2023-02-01 00:46:07;2023-02-01 00:48:15;Missing due to calibration or zero/span check;368.865487394958
2023-02-01 00:51:07;2023-02-01 00:53:28;Missing due to calibration or zero/span check;418.84201176470583
2023-02-01 00:56:07;2023-02-01 00:57:42;Missing due to calibration or zero/span check;264.2696049382716
2023-02-01 01:11:07;2023-02-01 01:13:40;Missing due to calibration or zero/span check;416.47830147058824
2023-02-01 01:16:07;2023-02-01 01:18:19;Missing due to calibration or zero/span check;375.2731226415094
2023-02-01 01:21:07;2023-02-01 01:23:41;Missing due to calibration or zero/span check;310.6234097222222
2023-02-01 01:26:07;2023-02-01 01:29:34;Missing due to calibration or zero/span check;291.4504765100671
2023-02-01 01:31:07;2023-02-01 01:33:18;Missing due to calibration or zero/span check;163.8213305785124
2023-02-01 01:46:08;2023-02-01 01:48:15;Missing due to calibration or zero/span check;364.33102777777776
2023-02-01 01:51:08;2023-02-01 01:52:15;Missing due to calibration or zero/span check;339.58553658536584
2023-02-01 01:56:08;2023-02-01 01:58:33;Missing due to calibration or zero/span check;350.75445185185185
2023-02-01 02:01:08;2023-02-01 02:03:54;Missing due to calibration or zero/span check;409.3026603773585
2023-02-01 02:06:08;2023-02-01 02:08:34;Missing due to calibration or zero/span check;229.85856296296296
2023-02-01 02:21:08;2023-02-01 02:23:39;Missing due to calibration or zero/span check;317.2859552238806
2023-02-01 02:26:08;2023-02-01 02:27:14;Missing due to calibration or zero/span check;380.28241463414633
2023-02-01 02:31:05;2023-02-01 02:31:06;Missing due to calibration or zero/span check;671.1655000000001
2023-02-01 02:31:08;2023-02-01 02:33:34;Missing due to calibration or zero/span check;632.7640367647059
