#acquisition error/standby/quality issue events
Start Time;End Time;Error Description;Error Value
# --- 2025 --- #
2021-02-07 00:31:02;2021-02-07 00:31:02;Missing due to calibration or zero/span check;431.491
2021-02-07 00:33:39;2021-02-07 00:35:18;Missing due to calibration or zero/span check;nan
2021-02-07 00:38:39;2021-02-07 00:40:24;Missing due to calibration or zero/span check;nan
2021-02-07 00:42:27;2021-02-07 00:42:28;Missing due to calibration or zero/span check;487.9995
2021-02-07 00:43:39;2021-02-07 00:49:15;Missing due to calibration or zero/span check;nan
2021-02-07 00:52:14;2021-02-07 00:52:14;Missing due to calibration or zero/span check;390.511
2021-02-07 00:53:33;2021-02-07 00:53:33;Missing due to calibration or zero/span check;158.112
2021-02-07 00:58:39;2021-02-07 00:59:56;Missing due to calibration or zero/span check;nan
2021-02-07 01:00:00;2021-02-07 01:00:01;Erreur inconnue;nan
2021-02-07 01:01:26;2021-02-07 01:01:26;Missing due to calibration or zero/span check;388.198
2021-02-07 01:03:39;2021-02-07 01:05:08;Missing due to calibration or zero/span check;nan
2021-02-07 01:08:39;2021-02-07 01:10:18;Missing due to calibration or zero/span check;nan
2021-02-07 01:13:39;2021-02-07 01:15:28;Missing due to calibration or zero/span check;nan
2021-02-07 01:17:42;2021-02-07 01:17:42;Missing due to calibration or zero/span check;515.623
2021-02-07 01:18:23;2021-02-07 01:18:23;Missing due to calibration or zero/span check;516.842
2021-02-07 01:18:35;2021-02-07 01:18:35;Missing due to calibration or zero/span check;460.528
2021-02-07 01:18:39;2021-02-07 01:23:37;Missing due to calibration or zero/span check;nan
2021-02-07 01:27:01;2021-02-07 01:28:01;Local contamination;270.034262295082
2021-02-07 01:31:35;2021-02-07 01:31:35;Missing due to calibration or zero/span check;361.827
2021-02-07 01:33:05;2021-02-07 01:33:05;Missing due to calibration or zero/span check;394.046
2021-02-07 01:33:12;2021-02-07 01:33:12;Missing due to calibration or zero/span check;403.403
2021-02-07 01:33:39;2021-02-07 01:35:27;Missing due to calibration or zero/span check;nan
2021-02-07 01:37:40;2021-02-07 01:37:40;Missing due to calibration or zero/span check;374.346
2021-02-07 01:38:39;2021-02-07 01:39:54;Missing due to calibration or zero/span check;nan
2021-02-07 01:41:00;2021-02-07 01:41:00;Missing due to calibration or zero/span check;365.047
2021-02-07 01:41:48;2021-02-07 01:41:48;Missing due to calibration or zero/span check;358.761
2021-02-07 01:43:39;2021-02-07 01:44:58;Missing due to calibration or zero/span check;nan
2021-02-07 01:48:39;2021-02-07 01:50:26;Missing due to calibration or zero/span check;nan
2021-02-07 01:51:57;2021-02-07 01:51:57;Missing due to calibration or zero/span check;461.847
2021-02-07 01:52:01;2021-02-07 01:52:01;Missing due to calibration or zero/span check;555.01
2021-02-07 01:53:39;2021-02-07 02:01:56;Missing due to calibration or zero/span check;nan
2021-02-07 02:08:39;2021-02-07 02:10:14;Missing due to calibration or zero/span check;nan
2021-02-07 02:13:39;2021-02-07 02:14:46;Missing due to calibration or zero/span check;nan
2021-02-07 02:16:14;2021-02-07 02:16:14;Missing due to calibration or zero/span check;399.135
2021-02-07 02:17:15;2021-02-07 02:17:15;Missing due to calibration or zero/span check;367.058
2021-02-07 02:18:39;2021-02-07 02:21:01;Missing due to calibration or zero/span check;nan
2021-02-07 02:22:55;2021-02-07 02:22:55;Missing due to calibration or zero/span check;433.155
2021-02-07 02:23:39;2021-02-07 02:25:09;Missing due to calibration or zero/span check;nan
2021-02-07 02:27:13;2021-02-07 02:27:13;Missing due to calibration or zero/span check;453.988
2021-02-07 02:28:39;2021-02-07 02:34:11;Missing due to calibration or zero/span check;nan
2021-02-07 02:35:23;2021-02-07 02:35:23;Missing due to calibration or zero/span check;411.039
2021-02-07 02:35:25;2021-02-07 02:35:25;Missing due to calibration or zero/span check;407.59
2021-02-07 02:35:53;2021-02-07 02:35:53;Missing due to calibration or zero/span check;389.121
2021-02-07 02:40:01;2021-02-07 02:40:01;Missing due to calibration or zero/span check;393.156
2021-02-07 02:42:07;2021-02-07 02:42:07;Missing due to calibration or zero/span check;382.008
2021-02-07 02:43:39;2021-02-07 02:45:18;Missing due to calibration or zero/span check;nan
2021-02-07 02:48:27;2021-02-07 02:48:27;Missing due to calibration or zero/span check;397.163
2021-02-07 02:48:39;2021-02-07 02:50:00;Missing due to calibration or zero/span check;nan
2021-02-07 02:50:42;2021-02-07 02:50:42;Missing due to calibration or zero/span check;703.38
2021-02-07 02:51:03;2021-02-07 02:51:03;Missing due to calibration or zero/span check;463.452
2021-02-07 02:53:39;2021-02-07 02:55:12;Missing due to calibration or zero/span check;nan
2021-02-07 02:58:39;2021-02-07 03:00:19;Missing due to calibration or zero/span check;nan
2021-02-07 03:03:39;2021-02-07 03:08:43;Missing due to calibration or zero/span check;nan
2021-02-07 03:09:58;2021-02-07 03:09:58;Missing due to calibration or zero/span check;417.879
2021-02-07 03:10:39;2021-02-07 03:10:39;Missing due to calibration or zero/span check;410.61
2021-02-07 03:14:23;2021-02-07 03:14:23;Missing due to calibration or zero/span check;391.794
2021-02-07 03:18:39;2021-02-07 03:20:08;Missing due to calibration or zero/span check;nan
2021-02-07 03:21:35;2021-02-07 03:21:35;Missing due to calibration or zero/span check;412.271
2021-02-07 03:23:39;2021-02-07 03:25:41;Missing due to calibration or zero/span check;nan
2021-02-07 03:28:39;2021-02-07 03:30:07;Missing due to calibration or zero/span check;nan
2021-02-07 03:30:13;2021-02-07 03:30:13;Missing due to calibration or zero/span check;498.966
2021-02-07 03:33:39;2021-02-07 03:35:19;Missing due to calibration or zero/span check;nan
2021-02-07 03:37:02;2021-02-07 03:37:03;Missing due to calibration or zero/span check;502.5595
2021-02-07 03:37:30;2021-02-07 03:37:30;Missing due to calibration or zero/span check;529.945
2021-02-07 03:38:39;2021-02-07 03:43:53;Missing due to calibration or zero/span check;nan
2021-02-07 03:45:01;2021-02-07 03:46:01;Local contamination;282.9604262295082
2021-02-07 03:50:06;2021-02-07 03:50:06;Missing due to calibration or zero/span check;454.31
2021-02-07 03:51:04;2021-02-07 03:51:04;Missing due to calibration or zero/span check;443.349
2021-02-07 03:51:08;2021-02-07 03:51:08;Missing due to calibration or zero/span check;145.947
2021-02-07 03:53:01;2021-02-07 03:54:39;Local contamination;nan
2021-02-07 03:58:39;2021-02-07 04:00:12;Missing due to calibration or zero/span check;nan
2021-02-07 04:03:02;2021-02-07 04:03:02;Missing due to calibration or zero/span check;183.905
2021-02-07 04:03:39;2021-02-07 04:05:03;Missing due to calibration or zero/span check;nan
2021-02-07 04:06:54;2021-02-07 04:06:54;Missing due to calibration or zero/span check;518.784
2021-02-07 04:08:07;2021-02-07 04:08:07;Missing due to calibration or zero/span check;515.806
2021-02-07 04:08:39;2021-02-07 04:10:20;Missing due to calibration or zero/span check;nan
2021-02-07 04:13:13;2021-02-07 04:13:13;Missing due to calibration or zero/span check;557.289
2021-02-07 04:13:27;2021-02-07 04:13:27;Missing due to calibration or zero/span check;616.33
2021-02-07 04:13:39;2021-02-07 04:19:04;Missing due to calibration or zero/span check;nan
2021-02-07 04:28:39;2021-02-07 04:30:12;Missing due to calibration or zero/span check;nan
2021-02-07 04:31:38;2021-02-07 04:31:38;Missing due to calibration or zero/span check;424.47
2021-02-07 04:33:39;2021-02-07 04:35:30;Missing due to calibration or zero/span check;nan
2021-02-07 04:35:42;2021-02-07 04:35:43;Missing due to calibration or zero/span check;483.9845
2021-02-07 04:38:39;2021-02-07 04:40:00;Missing due to calibration or zero/span check;nan
2021-02-07 04:41:26;2021-02-07 04:41:27;Missing due to calibration or zero/span check;636.042
2021-02-07 04:41:40;2021-02-07 04:41:40;Missing due to calibration or zero/span check;564.49
2021-02-07 04:43:39;2021-02-07 04:45:26;Missing due to calibration or zero/span check;nan
2021-02-07 04:46:51;2021-02-07 04:46:51;Missing due to calibration or zero/span check;595.486
2021-02-07 04:47:04;2021-02-07 04:47:05;Missing due to calibration or zero/span check;565.0405000000001
2021-02-07 04:48:39;2021-02-07 04:54:09;Missing due to calibration or zero/span check;nan
2021-02-07 04:59:40;2021-02-07 04:59:40;Missing due to calibration or zero/span check;387.068
2021-02-07 05:00:00;2021-02-07 05:00:01;Erreur inconnue;nan
2021-02-07 05:02:01;2021-02-07 05:03:01;Local contamination;265.81303278688523
2021-02-07 05:03:04;2021-02-07 05:03:04;Missing due to calibration or zero/span check;381.362
2021-02-07 05:03:39;2021-02-07 05:04:43;Missing due to calibration or zero/span check;nan
2021-02-07 05:08:39;2021-02-07 05:10:06;Missing due to calibration or zero/span check;nan
2021-02-07 05:13:39;2021-02-07 05:16:01;Missing due to calibration or zero/span check;nan
2021-02-07 05:17:39;2021-02-07 05:17:39;Missing due to calibration or zero/span check;506.03
2021-02-07 05:18:39;2021-02-07 05:20:25;Missing due to calibration or zero/span check;nan
2021-02-07 05:21:46;2021-02-07 05:21:46;Missing due to calibration or zero/span check;613.807
2021-02-07 05:23:08;2021-02-07 05:23:08;Missing due to calibration or zero/span check;588.131
2021-02-07 05:23:39;2021-02-07 05:29:10;Missing due to calibration or zero/span check;nan
2021-02-07 05:34:27;2021-02-07 05:34:27;Missing due to calibration or zero/span check;590.194
2021-02-07 05:36:40;2021-02-07 05:36:40;Missing due to calibration or zero/span check;537.202
2021-02-07 05:38:39;2021-02-07 05:40:36;Missing due to calibration or zero/span check;nan
2021-02-07 05:40:48;2021-02-07 05:40:48;Missing due to calibration or zero/span check;422.36
2021-02-07 05:43:33;2021-02-07 05:43:33;Missing due to calibration or zero/span check;445.635
2021-02-07 05:43:39;2021-02-07 05:45:28;Missing due to calibration or zero/span check;nan
2021-02-07 05:45:44;2021-02-07 05:45:44;Missing due to calibration or zero/span check;492.937
2021-02-07 05:48:39;2021-02-07 05:51:01;Missing due to calibration or zero/span check;nan
2021-02-07 05:52:01;2021-02-07 05:53:01;Local contamination;337.70622950819677
2021-02-07 05:53:39;2021-02-07 05:55:21;Missing due to calibration or zero/span check;nan
2021-02-07 05:57:01;2021-02-07 06:09:01;Local contamination;nan
2021-02-07 06:10:37;2021-02-07 06:10:37;Missing due to calibration or zero/span check;432.39
2021-02-07 06:13:39;2021-02-07 06:14:41;Missing due to calibration or zero/span check;nan
2021-02-07 06:15:22;2021-02-07 06:15:22;Missing due to calibration or zero/span check;429.288
2021-02-07 06:17:22;2021-02-07 06:17:22;Missing due to calibration or zero/span check;475.518
2021-02-07 06:18:39;2021-02-07 06:19:55;Missing due to calibration or zero/span check;nan
2021-02-07 06:19:59;2021-02-07 06:19:59;Missing due to calibration or zero/span check;511.747
2021-02-07 06:20:01;2021-02-07 06:22:01;Local contamination;337.4078429752066
2021-02-07 06:23:39;2021-02-07 06:25:06;Missing due to calibration or zero/span check;nan
2021-02-07 06:26:01;2021-02-07 06:27:01;Local contamination;334.9642786885246
2021-02-07 06:28:39;2021-02-07 06:30:18;Missing due to calibration or zero/span check;nan
2021-02-07 06:31:01;2021-02-07 06:31:01;Missing due to calibration or zero/span check;547.227
2021-02-07 06:32:01;2021-02-07 06:33:01;Local contamination;327.2179180327869
2021-02-07 06:33:39;2021-02-07 06:40:01;Missing due to calibration or zero/span check;nan
2021-02-07 06:41:08;2021-02-07 06:41:08;Missing due to calibration or zero/span check;137.087
2021-02-07 06:45:10;2021-02-07 06:45:10;Missing due to calibration or zero/span check;409.313
2021-02-07 06:47:29;2021-02-07 06:47:29;Missing due to calibration or zero/span check;142.213
2021-02-07 06:48:01;2021-02-07 06:51:01;Local contamination;nan
2021-02-07 06:53:39;2021-02-07 06:56:01;Missing due to calibration or zero/span check;nan
2021-02-07 06:58:39;2021-02-07 07:00:10;Missing due to calibration or zero/span check;nan
2021-02-07 07:03:39;2021-02-07 07:05:13;Missing due to calibration or zero/span check;nan
2021-02-07 07:06:32;2021-02-07 07:06:34;Missing due to calibration or zero/span check;576.6263333333333
2021-02-07 07:08:39;2021-02-07 07:13:35;Missing due to calibration or zero/span check;nan
2021-02-07 07:18:58;2021-02-07 07:18:58;Missing due to calibration or zero/span check;424.598
2021-02-07 07:20:49;2021-02-07 07:20:49;Missing due to calibration or zero/span check;429.172
2021-02-07 07:21:25;2021-02-07 07:21:25;Missing due to calibration or zero/span check;414.501
2021-02-07 07:21:33;2021-02-07 07:21:33;Missing due to calibration or zero/span check;422.89
2021-02-07 07:23:39;2021-02-07 07:24:39;Missing due to calibration or zero/span check;nan
2021-02-07 07:26:58;2021-02-07 07:26:58;Missing due to calibration or zero/span check;485.955
2021-02-07 07:27:19;2021-02-07 07:27:19;Missing due to calibration or zero/span check;553.929
2021-02-07 07:28:01;2021-02-07 07:31:01;Local contamination;nan
2021-02-07 07:33:19;2021-02-07 07:33:19;Missing due to calibration or zero/span check;514.462
2021-02-07 07:33:39;2021-02-07 07:35:18;Missing due to calibration or zero/span check;nan
2021-02-07 07:38:39;2021-02-07 07:40:35;Missing due to calibration or zero/span check;nan
2021-02-07 07:42:19;2021-02-07 07:42:20;Missing due to calibration or zero/span check;575.0785000000001
2021-02-07 07:43:39;2021-02-07 07:48:29;Missing due to calibration or zero/span check;nan
2021-02-07 07:50:18;2021-02-07 07:50:18;Missing due to calibration or zero/span check;170.86
2021-02-07 07:52:01;2021-02-07 07:53:01;Local contamination;306.07104918032786
2021-02-07 07:54:32;2021-02-07 07:54:32;Missing due to calibration or zero/span check;180.804
2021-02-07 07:54:45;2021-02-07 07:54:45;Missing due to calibration or zero/span check;447.739
2021-02-07 07:56:01;2021-02-07 07:57:01;Local contamination;316.7834426229508
2021-02-07 07:57:20;2021-02-07 07:57:20;Missing due to calibration or zero/span check;587.8
2021-02-07 07:57:33;2021-02-07 07:57:33;Missing due to calibration or zero/span check;508.153
2021-02-07 07:58:39;2021-02-07 07:59:46;Missing due to calibration or zero/span check;nan
2021-02-07 08:00:00;2021-02-07 08:00:01;Erreur inconnue;nan
2021-02-07 08:00:04;2021-02-07 08:00:04;Missing due to calibration or zero/span check;505.447
2021-02-07 08:00:46;2021-02-07 08:00:46;Missing due to calibration or zero/span check;479.198
2021-02-07 08:00:51;2021-02-07 08:00:51;Missing due to calibration or zero/span check;488.107
2021-02-07 08:03:39;2021-02-07 08:05:04;Missing due to calibration or zero/span check;nan
2021-02-07 08:07:19;2021-02-07 08:07:19;Missing due to calibration or zero/span check;505.022
2021-02-07 08:08:11;2021-02-07 08:08:11;Missing due to calibration or zero/span check;544.408
2021-02-07 08:08:39;2021-02-07 08:10:14;Missing due to calibration or zero/span check;nan
2021-02-07 08:12:01;2021-02-07 08:15:16;Local contamination;nan
2021-02-07 08:17:01;2021-02-07 08:18:01;Local contamination;344.67752459016396
2021-02-07 08:18:39;2021-02-07 08:24:02;Missing due to calibration or zero/span check;nan
2021-02-07 08:26:29;2021-02-07 08:26:29;Missing due to calibration or zero/span check;161.2
2021-02-07 08:26:38;2021-02-07 08:26:38;Missing due to calibration or zero/span check;607.786
2021-02-07 08:30:04;2021-02-07 08:30:04;Missing due to calibration or zero/span check;450.783
2021-02-07 08:31:01;2021-02-07 08:32:01;Local contamination;283.58431147540983
2021-02-07 08:33:39;2021-02-07 08:34:49;Missing due to calibration or zero/span check;nan
2021-02-07 08:38:39;2021-02-07 08:40:13;Missing due to calibration or zero/span check;nan
2021-02-07 08:41:03;2021-02-07 08:41:03;Missing due to calibration or zero/span check;525.622
2021-02-07 08:43:39;2021-02-07 08:45:49;Missing due to calibration or zero/span check;nan
2021-02-07 08:48:39;2021-02-07 08:50:27;Missing due to calibration or zero/span check;nan
2021-02-07 08:52:29;2021-02-07 08:52:29;Missing due to calibration or zero/span check;593.015
2021-02-07 08:53:28;2021-02-07 08:53:30;Missing due to calibration or zero/span check;653.3966666666666
2021-02-07 08:53:39;2021-02-07 08:59:14;Missing due to calibration or zero/span check;nan
2021-02-07 08:59:40;2021-02-07 08:59:40;Missing due to calibration or zero/span check;454.713
2021-02-07 09:00:00;2021-02-07 09:00:01;Erreur inconnue;nan
2021-02-07 09:02:09;2021-02-07 09:02:09;Missing due to calibration or zero/span check;163.976
2021-02-07 09:02:41;2021-02-07 09:02:41;Missing due to calibration or zero/span check;412.9
2021-02-07 09:02:48;2021-02-07 09:02:48;Missing due to calibration or zero/span check;526.995
2021-02-07 09:04:58;2021-02-07 09:04:58;Missing due to calibration or zero/span check;547.13
2021-02-07 09:08:39;2021-02-07 09:09:55;Missing due to calibration or zero/span check;nan
2021-02-07 09:12:01;2021-02-07 09:12:01;Missing due to calibration or zero/span check;497.901
2021-02-07 09:13:39;2021-02-07 09:14:56;Missing due to calibration or zero/span check;nan
2021-02-07 09:15:04;2021-02-07 09:15:04;Missing due to calibration or zero/span check;452.533
2021-02-07 09:16:57;2021-02-07 09:16:57;Missing due to calibration or zero/span check;458.705
2021-02-07 09:18:37;2021-02-07 09:18:37;Missing due to calibration or zero/span check;451.767
2021-02-07 09:18:39;2021-02-07 09:20:09;Missing due to calibration or zero/span check;nan
2021-02-07 09:23:39;2021-02-07 09:25:18;Missing due to calibration or zero/span check;nan
2021-02-07 09:25:36;2021-02-07 09:25:36;Missing due to calibration or zero/span check;694.638
2021-02-07 09:28:02;2021-02-07 09:28:02;Missing due to calibration or zero/span check;559.984
2021-02-07 09:28:39;2021-02-07 09:32:54;Missing due to calibration or zero/span check;nan
2021-02-07 09:33:17;2021-02-07 09:33:17;Missing due to calibration or zero/span check;435.997
2021-02-07 09:34:05;2021-02-07 09:34:05;Missing due to calibration or zero/span check;431.567
2021-02-07 09:38:21;2021-02-07 09:38:21;Missing due to calibration or zero/span check;142.986
2021-02-07 09:39:42;2021-02-07 09:39:42;Missing due to calibration or zero/span check;151.623
2021-02-07 09:41:19;2021-02-07 09:41:19;Missing due to calibration or zero/span check;646.544
2021-02-07 09:41:49;2021-02-07 09:41:49;Missing due to calibration or zero/span check;423.177
2021-02-07 09:41:58;2021-02-07 09:41:58;Missing due to calibration or zero/span check;158.864
2021-02-07 09:43:39;2021-02-07 09:44:39;Missing due to calibration or zero/span check;nan
2021-02-07 09:46:09;2021-02-07 09:46:09;Missing due to calibration or zero/span check;434.946
2021-02-07 09:46:36;2021-02-07 09:46:36;Missing due to calibration or zero/span check;440.401
2021-02-07 09:48:39;2021-02-07 09:49:59;Missing due to calibration or zero/span check;nan
2021-02-07 09:50:11;2021-02-07 09:50:11;Missing due to calibration or zero/span check;479.264
2021-02-07 09:53:28;2021-02-07 09:53:28;Missing due to calibration or zero/span check;471.887
2021-02-07 09:53:39;2021-02-07 09:55:12;Missing due to calibration or zero/span check;nan
2021-02-07 09:56:46;2021-02-07 09:56:46;Missing due to calibration or zero/span check;543.554
2021-02-07 09:57:00;2021-02-07 09:57:00;Missing due to calibration or zero/span check;551.81
2021-02-07 09:58:39;2021-02-07 10:00:23;Missing due to calibration or zero/span check;nan
2021-02-07 10:01:46;2021-02-07 10:01:46;Missing due to calibration or zero/span check;581.595
2021-02-07 10:03:31;2021-02-07 10:03:31;Missing due to calibration or zero/span check;578.53
2021-02-07 10:03:39;2021-02-07 10:08:54;Missing due to calibration or zero/span check;nan
2021-02-07 10:10:03;2021-02-07 10:10:03;Missing due to calibration or zero/span check;502.797
2021-02-07 10:11:13;2021-02-07 10:11:13;Missing due to calibration or zero/span check;568.891
2021-02-07 10:12:12;2021-02-07 10:12:12;Missing due to calibration or zero/span check;473.546
2021-02-07 10:12:25;2021-02-07 10:12:25;Missing due to calibration or zero/span check;417.568
2021-02-07 10:15:33;2021-02-07 10:15:33;Missing due to calibration or zero/span check;437.37
2021-02-07 10:18:39;2021-02-07 10:19:41;Missing due to calibration or zero/span check;nan
2021-02-07 10:23:39;2021-02-07 10:25:45;Missing due to calibration or zero/span check;nan
2021-02-07 10:26:51;2021-02-07 10:26:51;Missing due to calibration or zero/span check;511.007
2021-02-07 10:28:03;2021-02-07 10:28:03;Missing due to calibration or zero/span check;473.697
2021-02-07 10:28:39;2021-02-07 10:30:21;Missing due to calibration or zero/span check;nan
2021-02-07 10:32:16;2021-02-07 10:32:16;Missing due to calibration or zero/span check;453.988
2021-02-07 10:32:26;2021-02-07 10:32:27;Missing due to calibration or zero/span check;481.7745
2021-02-07 10:33:39;2021-02-07 10:35:15;Missing due to calibration or zero/span check;nan
2021-02-07 10:35:56;2021-02-07 10:35:56;Missing due to calibration or zero/span check;573.161
2021-02-07 10:38:39;2021-02-07 10:43:56;Missing due to calibration or zero/span check;nan
2021-02-07 10:45:54;2021-02-07 10:45:54;Missing due to calibration or zero/span check;399.324
2021-02-07 10:47:37;2021-02-07 10:47:37;Missing due to calibration or zero/span check;167.262
2021-02-07 10:48:24;2021-02-07 10:48:24;Missing due to calibration or zero/span check;495.408
2021-02-07 10:49:56;2021-02-07 10:49:56;Missing due to calibration or zero/span check;401.796
2021-02-07 10:50:40;2021-02-07 10:50:40;Missing due to calibration or zero/span check;462.932
2021-02-07 10:53:09;2021-02-07 10:53:09;Missing due to calibration or zero/span check;411.814
2021-02-07 10:53:39;2021-02-07 10:54:48;Missing due to calibration or zero/span check;nan
2021-02-07 10:55:42;2021-02-07 10:55:42;Missing due to calibration or zero/span check;477.548
2021-02-07 10:57:59;2021-02-07 10:57:59;Missing due to calibration or zero/span check;632.531
2021-02-07 10:58:39;2021-02-07 10:59:49;Missing due to calibration or zero/span check;nan
2021-02-07 11:00:00;2021-02-07 11:00:01;Erreur inconnue;nan
2021-02-07 11:03:39;2021-02-07 11:05:03;Missing due to calibration or zero/span check;nan
2021-02-07 11:05:21;2021-02-07 11:05:21;Missing due to calibration or zero/span check;528.375
2021-02-07 11:08:21;2021-02-07 11:08:21;Missing due to calibration or zero/span check;505.488
2021-02-07 11:08:39;2021-02-07 11:10:29;Missing due to calibration or zero/span check;nan
2021-02-07 11:11:17;2021-02-07 11:11:18;Missing due to calibration or zero/span check;531.995
2021-02-07 11:13:39;2021-02-07 11:17:58;Missing due to calibration or zero/span check;nan
2021-02-07 11:18:39;2021-02-07 11:18:39;Missing due to calibration or zero/span check;422.703
2021-02-07 11:18:55;2021-02-07 11:18:55;Missing due to calibration or zero/span check;422.589
2021-02-07 11:20:47;2021-02-07 11:20:47;Missing due to calibration or zero/span check;554.312
2021-02-07 11:21:40;2021-02-07 11:21:40;Missing due to calibration or zero/span check;459.714
2021-02-07 11:22:57;2021-02-07 11:22:57;Missing due to calibration or zero/span check;424.511
2021-02-07 11:26:58;2021-02-07 11:26:58;Missing due to calibration or zero/span check;518.821
2021-02-07 11:27:01;2021-02-07 11:28:01;Local contamination;280.3782786885246
2021-02-07 11:28:39;2021-02-07 11:29:39;Missing due to calibration or zero/span check;nan
2021-02-07 11:30:31;2021-02-07 11:30:31;Missing due to calibration or zero/span check;525.59
2021-02-07 11:32:44;2021-02-07 11:32:44;Missing due to calibration or zero/span check;423.621
2021-02-07 11:33:39;2021-02-07 11:35:00;Missing due to calibration or zero/span check;nan
2021-02-07 11:36:51;2021-02-07 11:36:51;Missing due to calibration or zero/span check;496.914
2021-02-07 11:38:39;2021-02-07 11:40:24;Missing due to calibration or zero/span check;nan
2021-02-07 11:43:39;2021-02-07 11:45:24;Missing due to calibration or zero/span check;nan
2021-02-07 11:47:25;2021-02-07 11:47:25;Missing due to calibration or zero/span check;480.097
2021-02-07 11:47:51;2021-02-07 11:47:51;Missing due to calibration or zero/span check;471.199
2021-02-07 11:47:58;2021-02-07 11:47:58;Missing due to calibration or zero/span check;468.945
2021-02-07 11:48:39;2021-02-07 11:54:26;Missing due to calibration or zero/span check;nan
2021-02-07 11:55:08;2021-02-07 11:55:08;Missing due to calibration or zero/span check;388.976
2021-02-07 11:56:14;2021-02-07 11:56:14;Missing due to calibration or zero/span check;391.586
2021-02-07 11:57:23;2021-02-07 11:57:23;Missing due to calibration or zero/span check;143.65
2021-02-07 11:59:49;2021-02-07 11:59:49;Missing due to calibration or zero/span check;380.912
2021-02-07 11:59:57;2021-02-07 11:59:57;Missing due to calibration or zero/span check;155.819
2021-02-07 12:00:00;2021-02-07 12:00:01;Erreur inconnue;nan
2021-02-07 12:02:04;2021-02-07 12:02:04;Missing due to calibration or zero/span check;379.41
2021-02-07 12:03:39;2021-02-07 12:05:05;Missing due to calibration or zero/span check;nan
2021-02-07 12:07:08;2021-02-07 12:07:08;Missing due to calibration or zero/span check;381.051
2021-02-07 12:08:39;2021-02-07 12:10:16;Missing due to calibration or zero/span check;nan
2021-02-07 12:10:41;2021-02-07 12:10:41;Missing due to calibration or zero/span check;450.053
2021-02-07 12:12:08;2021-02-07 12:12:08;Missing due to calibration or zero/span check;451.811
2021-02-07 12:13:01;2021-02-07 12:15:31;Local contamination;nan
2021-02-07 12:15:45;2021-02-07 12:15:45;Missing due to calibration or zero/span check;453.207
2021-02-07 12:16:31;2021-02-07 12:16:31;Missing due to calibration or zero/span check;471.014
2021-02-07 12:16:43;2021-02-07 12:16:43;Missing due to calibration or zero/span check;465.932
2021-02-07 12:18:39;2021-02-07 12:20:15;Missing due to calibration or zero/span check;nan
2021-02-07 12:22:43;2021-02-07 12:22:43;Missing due to calibration or zero/span check;674.878
2021-02-07 12:22:55;2021-02-07 12:22:55;Missing due to calibration or zero/span check;491.519
2021-02-07 12:23:39;2021-02-07 12:29:01;Missing due to calibration or zero/span check;nan
2021-02-07 12:30:01;2021-02-07 12:32:01;Local contamination;251.39030578512396
2021-02-07 12:35:00;2021-02-07 12:38:01;Missing due to calibration or zero/span check;250.73799450549453
2021-02-07 12:38:39;2021-02-07 12:39:38;Missing due to calibration or zero/span check;nan
2021-02-07 12:40:22;2021-02-07 12:40:22;Missing due to calibration or zero/span check;415.979
2021-02-07 12:41:01;2021-02-07 12:43:01;Local contamination;288.12095867768596
2021-02-07 12:43:06;2021-02-07 12:43:06;Missing due to calibration or zero/span check;407.611
2021-02-07 12:43:39;2021-02-07 12:45:25;Missing due to calibration or zero/span check;nan
2021-02-07 12:45:37;2021-02-07 12:45:37;Missing due to calibration or zero/span check;439.374
2021-02-07 12:46:40;2021-02-07 12:46:40;Missing due to calibration or zero/span check;403.691
2021-02-07 12:48:39;2021-02-07 12:50:10;Missing due to calibration or zero/span check;nan
2021-02-07 12:51:31;2021-02-07 12:51:31;Missing due to calibration or zero/span check;467.727
2021-02-07 12:53:39;2021-02-07 12:58:01;Missing due to calibration or zero/span check;nan
2021-02-07 12:58:39;2021-02-07 13:06:01;Missing due to calibration or zero/span check;nan
2021-02-07 13:10:01;2021-02-07 13:12:01;Local contamination;227.2470661157025
2021-02-07 13:12:21;2021-02-07 13:12:21;Missing due to calibration or zero/span check;350.229
2021-02-07 13:12:58;2021-02-07 13:12:58;Missing due to calibration or zero/span check;359.861
2021-02-07 13:13:14;2021-02-07 13:13:14;Missing due to calibration or zero/span check;429.323
2021-02-07 13:13:39;2021-02-07 13:14:58;Missing due to calibration or zero/span check;nan
2021-02-07 13:17:23;2021-02-07 13:17:23;Missing due to calibration or zero/span check;374.3
2021-02-07 13:18:01;2021-02-07 13:20:04;Local contamination;nan
2021-02-07 13:20:30;2021-02-07 13:20:31;Missing due to calibration or zero/span check;438.89300000000003
2021-02-07 13:23:39;2021-02-07 13:25:14;Missing due to calibration or zero/span check;nan
2021-02-07 13:28:01;2021-02-07 13:28:01;Missing due to calibration or zero/span check;442.856
2021-02-07 13:28:14;2021-02-07 13:28:14;Missing due to calibration or zero/span check;429.39
2021-02-07 13:28:25;2021-02-07 13:28:25;Missing due to calibration or zero/span check;429.209
2021-02-07 13:28:39;2021-02-07 13:32:01;Missing due to calibration or zero/span check;nan
2021-02-07 13:32:22;2021-02-07 13:32:22;Missing due to calibration or zero/span check;468.991
2021-02-07 13:33:39;2021-02-07 13:41:01;Missing due to calibration or zero/span check;nan
2021-02-07 13:42:01;2021-02-07 13:44:01;Local contamination;235.65695867768594
2021-02-07 13:45:01;2021-02-07 13:51:01;Local contamination;nan
