#acquisition error/standby/quality issue events
Start Time;End Time;Error Description;Error Value
# --- 2025 --- #
2021-02-05 11:03:39;2021-02-05 11:06:24;Missing due to calibration or zero/span check;nan
2021-02-05 11:08:39;2021-02-05 11:10:21;Missing due to calibration or zero/span check;nan
2021-02-05 11:13:39;2021-02-05 11:15:48;Missing due to calibration or zero/span check;nan
2021-02-05 11:16:01;2021-02-05 11:17:01;Local contamination;220.8732786885246
2021-02-05 11:18:39;2021-02-05 11:20:25;Missing due to calibration or zero/span check;nan
2021-02-05 11:20:52;2021-02-05 11:20:52;Missing due to calibration or zero/span check;332.414
2021-02-05 11:22:20;2021-02-05 11:22:20;Missing due to calibration or zero/span check;330.273
2021-02-05 11:23:39;2021-02-05 11:29:13;Missing due to calibration or zero/span check;nan
2021-02-05 11:38:39;2021-02-05 11:41:04;Missing due to calibration or zero/span check;nan
2021-02-05 11:43:39;2021-02-05 11:46:01;Missing due to calibration or zero/span check;nan
2021-02-05 11:48:39;2021-02-05 11:50:04;Missing due to calibration or zero/span check;nan
2021-02-05 11:53:39;2021-02-05 11:55:53;Missing due to calibration or zero/span check;nan
2021-02-05 11:58:39;2021-02-05 12:04:01;Missing due to calibration or zero/span check;nan
2021-02-05 12:12:51;2021-02-05 12:12:51;Missing due to calibration or zero/span check;206.591
2021-02-05 12:13:32;2021-02-05 12:13:32;Missing due to calibration or zero/span check;200.858
2021-02-05 12:13:39;2021-02-05 12:14:46;Missing due to calibration or zero/span check;nan
2021-02-05 12:18:39;2021-02-05 12:20:11;Missing due to calibration or zero/span check;nan
2021-02-05 12:23:39;2021-02-05 12:25:16;Missing due to calibration or zero/span check;nan
2021-02-05 12:28:39;2021-02-05 12:30:18;Missing due to calibration or zero/span check;nan
2021-02-05 12:31:01;2021-02-06 01:55:24;Local contamination;nan
2021-02-06 01:56:01;2021-02-06 05:12:01;Local contamination;nan
2021-02-06 05:13:39;2021-02-06 05:15:29;Missing due to calibration or zero/span check;nan
2021-02-06 05:16:01;2021-02-06 05:25:42;Local contamination;nan
2021-02-06 05:28:01;2021-02-06 05:35:44;Local contamination;nan
2021-02-06 05:36:01;2021-02-06 05:37:01;Local contamination;127.8714262295082
2021-02-06 05:38:01;2021-02-06 05:39:01;Local contamination;121.59181967213114
2021-02-06 05:43:39;2021-02-06 05:46:01;Missing due to calibration or zero/span check;nan
2021-02-06 05:47:01;2021-02-06 05:48:01;Local contamination;166.6617868852459
2021-02-06 05:48:39;2021-02-06 05:50:42;Missing due to calibration or zero/span check;nan
2021-02-06 05:52:01;2021-02-06 05:56:01;Local contamination;nan
2021-02-06 05:57:01;2021-02-06 06:00:51;Local contamination;nan
2021-02-06 06:01:01;2021-02-06 06:02:01;Local contamination;231.20740983606558
2021-02-06 06:03:01;2021-02-06 06:09:42;Local contamination;nan
