datetime,ccn_sursaturation,pollution_flag,ccn_conc,ccn_flag
2021-02-05 06:14:40,0.2,0.0,156.579,0.0
2021-02-05 06:14:41,0.2,0.0,131.036,0.0
2021-02-05 06:14:42,0.2,0.0,117.062,0.0
2021-02-05 06:14:43,0.2,0.0,114.615,0.0
2021-02-05 06:14:44,0.2,0.0,116.728,0.0
2021-02-05 06:14:45,0.2,0.0,122.52,0.0
2021-02-05 06:14:46,0.2,0.0,108.216,0.0
2021-02-05 06:14:47,0.2,0.0,154.052,0.0
2021-02-05 06:14:48,0.2,0.0,124.921,0.0
2021-02-05 06:14:49,0.2,0.0,144.824,0.0
2021-02-05 06:14:50,0.2,0.0,152.356,0.0
2021-02-05 06:14:51,0.2,0.0,133.139,0.0
2021-02-05 06:14:52,0.2,0.0,121.68,0.0
2021-02-05 06:14:53,0.2,0.0,114.377,0.0
2021-02-05 06:14:54,0.2,0.0,117.632,0.0
2021-02-05 06:14:55,0.2,0.0,155.878,0.0
2021-02-05 06:14:56,0.2,0.0,136.118,0.0
2021-02-05 06:14:57,0.2,0.0,117.906,0.0
2021-02-05 06:14:58,0.2,0.0,123.558,0.0
2021-02-05 06:14:59,0.2,0.0,103.547,0.0
2021-02-05 06:15:00,0.2,0.0,126.878,0.0
2021-02-05 06:16:02,0.2,0.0,134.834,0.0
2021-02-05 06:16:03,0.2,0.0,141.298,0.0
2021-02-05 06:16:04,0.2,0.0,126.07,0.0
2021-02-05 06:16:05,0.2,0.0,146.644,0.0
2021-02-05 06:16:06,0.2,0.0,119.057,0.0
2021-02-05 06:16:07,0.2,0.0,126.214,0.0
2021-02-05 06:16:08,0.2,0.0,143.573,0.0
2021-02-05 06:16:09,0.2,0.0,123.069,0.0
2021-02-05 06:16:10,0.2,0.0,147.535,0.0
2021-02-05 06:16:11,0.2,0.0,129.221,0.0
2021-02-05 06:16:12,0.2,0.0,105.906,0.0
2021-02-05 06:16:13,0.2,0.0,119.1,0.0
2021-02-05 06:16:14,0.2,0.0,131.732,0.0
2021-02-05 06:16:15,0.2,0.0,120.859,0.0
2021-02-05 06:16:16,0.2,0.0,107.731,0.0
