datetime,pollution_flag,ccn_flag,ccn_sursaturation,ccn_conc
2023-02-01 08:08:29,0.0,0.0,0.2,326.166
2023-02-01 08:08:30,0.0,0.0,0.2,284.699
2023-02-01 08:08:31,0.0,0.0,0.2,309.08
2023-02-01 08:08:32,0.0,0.0,0.2,312.192
2023-02-01 08:08:33,0.0,0.0,0.2,299.721
2023-02-01 08:08:34,0.0,0.0,0.2,292.627
2023-02-01 08:08:35,0.0,0.0,0.2,294.094
2023-02-01 08:08:36,0.0,0.0,0.2,279.336
2023-02-01 08:08:37,0.0,0.0,0.2,321.26
2023-02-01 08:08:38,0.0,0.0,0.2,339.671
2023-02-01 08:08:39,0.0,0.0,0.2,290.142
2023-02-01 08:08:40,0.0,0.0,0.2,286.555
2023-02-01 08:08:41,0.0,0.0,0.2,301.435
2023-02-01 08:08:42,0.0,0.0,0.2,323.54
2023-02-01 08:08:43,0.0,0.0,0.2,313.302
2023-02-01 08:08:44,0.0,0.0,0.2,295.009
2023-02-01 08:08:45,0.0,0.0,0.2,313.425
2023-02-01 08:08:46,0.0,0.0,0.2,261.841
2023-02-01 08:08:47,0.0,0.0,0.2,315.104
2023-02-01 08:08:48,0.0,0.0,0.2,296.303
2023-02-01 08:08:49,0.0,0.0,0.2,351.67
2023-02-01 08:08:50,0.0,0.0,0.2,323.139
2023-02-01 08:08:51,0.0,0.0,0.2,328.574
2023-02-01 08:08:52,0.0,0.0,0.2,288.305
2023-02-01 08:08:53,0.0,0.0,0.2,305.39
2023-02-01 08:08:54,0.0,0.0,0.2,301.531
2023-02-01 08:08:55,0.0,0.0,0.2,332.479
2023-02-01 08:08:56,0.0,0.0,0.2,314.242
2023-02-01 08:08:57,0.0,0.0,0.2,315.856
2023-02-01 08:08:58,0.0,0.0,0.2,274.681
2023-02-01 08:08:59,0.0,0.0,0.2,252.857
2023-02-01 08:09:00,0.0,0.0,0.2,276.667
2023-02-01 08:09:01,0.0,0.0,0.2,290.102
2023-02-01 08:09:02,0.0,0.0,0.2,301.051
2023-02-01 08:09:03,0.0,0.0,0.2,310.805
2023-02-01 08:09:04,0.0,0.0,0.2,286.114
2023-02-01 08:09:05,0.0,0.0,0.2,321.367
2023-02-01 08:09:06,0.0,0.0,0.2,272.477
2023-02-01 08:09:07,0.0,0.0,0.2,290.808
2023-02-01 08:09:08,0.0,0.0,0.2,279.156
2023-02-01 08:09:09,0.0,0.0,0.2,311.692
2023-02-01 08:09:10,0.0,0.0,0.2,398.799
2023-02-01 08:09:11,0.0,0.0,0.2,333.137
2023-02-01 08:09:12,0.0,0.0,0.2,292.259
2023-02-01 08:09:13,0.0,0.0,0.2,331.0
2023-02-01 08:09:14,0.0,0.0,0.2,312.013
2023-02-01 08:09:15,0.0,0.0,0.2,302.706
2023-02-01 08:09:16,0.0,0.0,0.2,353.603
2023-02-01 08:09:17,0.0,0.0,0.2,285.371
2023-02-01 08:09:18,0.0,0.0,0.2,307.258
2023-02-01 08:09:19,0.0,0.0,0.2,300.767
2023-02-01 08:09:20,0.0,0.0,0.2,344.353
2023-02-01 08:09:21,0.0,0.0,0.2,274.249
2023-02-01 08:09:22,0.0,0.0,0.2,299.105
2023-02-01 08:09:23,0.0,0.0,0.2,378.629
2023-02-01 08:09:24,0.0,0.0,0.2,274.19
2023-02-01 08:09:25,0.0,0.0,0.2,315.35
2023-02-01 08:09:26,0.0,0.0,0.2,360.297
2023-02-01 08:09:27,0.0,0.0,0.2,335.841
2023-02-01 08:09:28,0.0,0.0,0.2,356.714
2023-02-01 08:09:29,0.0,0.0,0.2,275.918
2023-02-01 08:09:30,0.0,0.0,0.2,248.868
2023-02-01 08:09:31,0.0,0.0,0.2,321.882
2023-02-01 08:09:32,0.0,0.0,0.2,344.593
2023-02-01 08:09:33,0.0,0.0,0.2,318.484
2023-02-01 08:09:34,0.0,0.0,0.2,309.361
2023-02-01 08:09:35,0.0,0.0,0.2,331.834
2023-02-01 08:09:36,0.0,0.0,0.2,306.661
2023-02-01 08:09:37,0.0,0.0,0.2,292.036
2023-02-01 08:09:38,0.0,0.0,0.2,317.32
2023-02-01 08:09:39,0.0,0.0,0.2,284.891
2023-02-01 08:09:40,0.0,0.0,0.2,247.027
2023-02-01 08:09:41,0.0,0.0,0.2,297.332
2023-02-01 08:09:42,0.0,0.0,0.2,288.928
2023-02-01 08:09:43,0.0,0.0,0.2,371.348
2023-02-01 08:09:44,0.0,0.0,0.2,370.271
2023-02-01 08:09:45,0.0,0.0,0.2,337.173
2023-02-01 08:09:46,0.0,0.0,0.2,321.368
2023-02-01 08:09:47,0.0,0.0,0.2,339.752
2023-02-01 08:11:35,0.0,0.0,0.1,110.079
2023-02-01 08:11:36,0.0,0.0,0.1,129.302
2023-02-01 08:11:37,0.0,0.0,0.1,150.183
2023-02-01 08:11:38,0.0,0.0,0.1,138.315
2023-02-01 08:11:39,0.0,0.0,0.1,135.717
2023-02-01 08:11:40,0.0,0.0,0.1,178.906
2023-02-01 08:11:41,0.0,0.0,0.1,145.599
2023-02-01 08:11:42,0.0,0.0,0.1,135.537
2023-02-01 08:11:43,0.0,0.0,0.1,131.974
2023-02-01 08:11:44,0.0,0.0,0.1,157.553
2023-02-01 08:11:45,0.0,0.0,0.1,90.478
2023-02-01 08:11:46,0.0,0.0,0.1,106.038
2023-02-01 08:11:47,0.0,0.0,0.1,121.39
2023-02-01 08:11:48,0.0,0.0,0.1,94.212
2023-02-01 08:11:49,0.0,0.0,0.1,101.454
