ccn_sursaturation,ccn_flag,ccn_conc,datetime,pollution_flag
1.0,0.0,237.509,2021-02-06 11:17:27,0.0
1.0,0.0,242.507,2021-02-06 11:17:33,0.0
1.0,0.0,255.794,2021-02-06 11:17:37,0.0
1.0,0.0,247.12,2021-02-06 11:17:38,0.0
1.0,0.0,368.688,2021-02-06 11:17:42,0.0
1.0,0.0,272.897,2021-02-06 11:17:44,0.0
1.0,0.0,268.592,2021-02-06 11:17:45,0.0
1.0,0.0,268.374,2021-02-06 11:17:52,0.0
1.0,0.0,297.792,2021-02-06 11:17:54,0.0
1.0,0.0,288.11,2021-02-06 11:17:57,0.0
1.0,0.0,257.802,2021-02-06 11:17:58,0.0
1.0,0.0,246.684,2021-02-06 11:17:59,0.0
1.0,0.0,256.659,2021-02-06 11:18:00,0.0
1.0,0.0,276.401,2021-02-06 11:18:06,0.0
1.0,0.0,271.94,2021-02-06 11:18:07,0.0
1.0,0.0,224.413,2021-02-06 11:18:08,0.0
1.0,0.0,207.317,2021-02-06 11:18:09,0.0
1.0,0.0,202.096,2021-02-06 11:18:10,0.0
1.0,0.0,309.578,2021-02-06 11:18:12,0.0
1.0,0.0,264.442,2021-02-06 11:18:15,0.0
1.0,0.0,277.799,2021-02-06 11:18:16,0.0
1.0,0.0,275.701,2021-02-06 11:18:18,0.0
1.0,0.0,222.265,2021-02-06 11:18:20,0.0
1.0,0.0,260.192,2021-02-06 11:18:23,0.0
1.0,0.0,322.572,2021-02-06 11:18:24,0.0
1.0,0.0,322.654,2021-02-06 11:18:25,0.0
1.0,0.0,330.805,2021-02-06 11:18:26,0.0
1.0,0.0,299.712,2021-02-06 11:18:27,0.0
1.0,0.0,318.442,2021-02-06 11:18:31,0.0
1.0,0.0,268.492,2021-02-06 11:18:36,0.0
1.0,0.0,277.417,2021-02-06 11:18:37,0.0
0.2,0.0,140.648,2021-02-06 11:24:02,0.0
0.2,0.0,146.192,2021-02-06 11:24:03,0.0
0.2,0.0,179.686,2021-02-06 11:24:04,0.0
0.2,0.0,171.653,2021-02-06 11:24:05,0.0
0.2,0.0,171.063,2021-02-06 11:24:07,0.0
0.2,0.0,176.539,2021-02-06 11:24:09,0.0
0.2,0.0,130.136,2021-02-06 11:24:10,0.0
0.2,0.0,185.497,2021-02-06 11:24:11,0.0
0.2,0.0,172.443,2021-02-06 11:24:13,0.0
0.2,0.0,159.283,2021-02-06 11:24:15,0.0
0.2,0.0,214.594,2021-02-06 11:24:19,0.0
0.2,0.0,181.603,2021-02-06 11:24:20,0.0
0.2,0.0,199.113,2021-02-06 11:24:22,0.0
0.2,0.0,190.46,2021-02-06 11:24:23,0.0
0.2,0.0,194.07,2021-02-06 11:24:24,0.0
0.2,0.0,183.949,2021-02-06 11:24:25,0.0
0.2,0.0,200.104,2021-02-06 11:24:28,0.0
0.2,0.0,217.308,2021-02-06 11:24:29,0.0
0.2,0.0,202.808,2021-02-06 11:24:30,0.0
0.2,0.0,193.534,2021-02-06 11:24:31,0.0
0.2,0.0,178.351,2021-02-06 11:24:37,0.0
0.2,0.0,163.374,2021-02-06 11:24:38,0.0
0.2,0.0,172.53,2021-02-06 11:24:39,0.0
0.2,0.0,176.88,2021-02-06 11:24:41,0.0
0.2,0.0,189.822,2021-02-06 11:24:44,0.0
0.2,0.0,204.026,2021-02-06 11:24:47,0.0
0.2,0.0,191.327,2021-02-06 11:24:49,0.0
0.2,0.0,162.181,2021-02-06 11:24:51,0.0
0.2,0.0,196.755,2021-02-06 11:24:52,0.0
0.2,0.0,172.136,2021-02-06 11:24:53,0.0
0.2,0.0,190.895,2021-02-06 11:24:54,0.0
0.2,0.0,187.036,2021-02-06 11:24:56,0.0
0.2,0.0,180.092,2021-02-06 11:24:57,0.0
0.2,0.0,200.859,2021-02-06 11:25:00,0.0
0.2,0.0,156.261,2021-02-06 11:25:01,0.0
0.2,0.0,150.739,2021-02-06 11:25:03,0.0
0.2,0.0,172.063,2021-02-06 11:25:04,0.0
0.2,0.0,175.099,2021-02-06 11:25:07,0.0
0.2,0.0,163.571,2021-02-06 11:25:08,0.0
0.2,0.0,169.863,2021-02-06 11:25:09,0.0
0.2,0.0,173.742,2021-02-06 11:25:12,0.0
0.2,0.0,148.141,2021-02-06 11:25:14,0.0
0.2,0.0,158.981,2021-02-06 11:25:15,0.0
0.2,0.0,151.17,2021-02-06 11:25:16,0.0
0.2,0.0,158.003,2021-02-06 11:25:18,0.0
0.2,0.0,165.644,2021-02-06 11:25:19,0.0
0.2,0.0,181.583,2021-02-06 11:25:20,0.0
0.2,0.0,142.193,2021-02-06 10:56:19,0.0
0.2,0.0,138.888,2021-02-06 10:56:21,0.0
0.2,0.0,148.513,2021-02-06 10:56:31,0.0
0.2,0.0,118.598,2021-02-06 10:56:40,0.0
0.2,0.0,144.896,2021-02-06 10:56:50,0.0
