ccn_sursaturation,pollution_flag,ccn_conc,datetime,ccn_flag
0.2,0.0,108.186,2021-02-05 05:41:17,0.0
0.2,0.0,140.979,2021-02-05 05:41:18,0.0
0.2,0.0,139.056,2021-02-05 05:41:19,0.0
0.2,0.0,108.931,2021-02-05 05:41:20,0.0
0.2,0.0,110.171,2021-02-05 05:41:21,0.0
0.2,0.0,132.429,2021-02-05 05:41:22,0.0
0.2,0.0,128.18,2021-02-05 05:41:23,0.0
0.2,0.0,123.778,2021-02-05 05:41:24,0.0
0.2,0.0,133.894,2021-02-05 05:41:25,0.0
0.2,0.0,137.854,2021-02-05 05:41:26,0.0
0.2,0.0,140.889,2021-02-05 05:41:27,0.0
0.2,0.0,119.764,2021-02-05 05:41:28,0.0
0.2,0.0,120.28,2021-02-05 05:41:29,0.0
0.2,0.0,133.405,2021-02-05 05:41:30,0.0
0.2,0.0,140.699,2021-02-05 05:41:31,0.0
0.2,0.0,119.864,2021-02-05 05:41:32,0.0
0.2,0.0,144.485,2021-02-05 05:41:33,0.0
0.2,0.0,121.233,2021-02-05 05:41:34,0.0
0.2,0.0,124.807,2021-02-05 05:41:35,0.0
0.2,0.0,150.438,2021-02-05 05:41:36,0.0
0.2,0.0,146.101,2021-02-05 05:41:37,0.0
0.2,0.0,135.868,2021-02-05 05:41:38,0.0
0.2,0.0,90.963,2021-02-05 05:41:39,0.0
0.2,0.0,112.879,2021-02-05 05:41:40,0.0
0.2,0.0,110.515,2021-02-05 05:41:41,0.0
0.2,0.0,108.769,2021-02-05 05:41:42,0.0
0.2,0.0,132.943,2021-02-05 05:41:43,0.0
0.2,0.0,171.844,2021-02-05 05:41:44,0.0
0.2,0.0,143.19,2021-02-05 05:41:45,0.0
0.2,0.0,132.456,2021-02-05 05:41:46,0.0
0.2,0.0,125.208,2021-02-05 05:41:47,0.0
0.2,0.0,128.185,2021-02-05 05:41:48,0.0
0.2,0.0,131.307,2021-02-05 05:41:49,0.0
0.2,0.0,158.995,2021-02-05 05:41:50,0.0
0.2,0.0,154.7,2021-02-05 05:41:51,0.0
0.2,0.0,123.207,2021-02-05 05:41:52,0.0
0.2,0.0,117.745,2021-02-05 05:41:53,0.0
0.2,0.0,127.965,2021-02-05 05:41:54,0.0
0.2,0.0,120.291,2021-02-05 05:41:55,0.0
0.2,0.0,138.582,2021-02-05 05:41:56,0.0
0.2,0.0,143.773,2021-02-05 05:41:57,0.0
0.2,0.0,117.033,2021-02-05 05:41:58,0.0
0.2,0.0,126.947,2021-02-05 05:41:59,0.0
0.2,0.0,121.871,2021-02-05 05:42:00,0.0
0.2,0.0,121.668,2021-02-05 05:42:01,0.0
0.2,0.0,123.237,2021-02-05 05:42:02,0.0
0.2,0.0,104.296,2021-02-05 05:42:03,0.0
0.2,0.0,149.716,2021-02-05 05:42:04,0.0
0.2,0.0,150.385,2021-02-05 05:42:05,0.0
0.2,0.0,139.268,2021-02-05 05:42:06,0.0
0.2,0.0,132.251,2021-02-05 05:42:07,0.0
0.2,0.0,94.165,2021-02-05 05:42:08,0.0
0.2,0.0,126.367,2021-02-05 05:42:09,0.0
0.2,0.0,129.337,2021-02-05 05:42:10,0.0
0.2,0.0,147.916,2021-02-05 05:42:11,0.0
0.2,0.0,132.943,2021-02-05 05:42:12,0.0
0.2,0.0,125.293,2021-02-05 05:42:13,0.0
0.2,0.0,147.116,2021-02-05 05:42:14,0.0
0.2,0.0,137.013,2021-02-05 05:42:15,0.0
0.2,0.0,125.837,2021-02-05 05:42:16,0.0
0.2,0.0,121.326,2021-02-05 05:42:17,0.0
0.2,0.0,132.264,2021-02-05 05:42:18,0.0
0.2,0.0,148.542,2021-02-05 05:42:19,0.0
0.2,0.0,156.731,2021-02-05 05:42:20,0.0
0.2,0.0,116.047,2021-02-05 05:42:21,0.0
0.2,0.0,118.342,2021-02-05 05:42:22,0.0
0.2,0.0,111.223,2021-02-05 05:42:23,0.0
0.2,0.0,107.489,2021-02-05 05:42:24,0.0
0.2,0.0,116.472,2021-02-05 05:42:25,0.0
0.2,0.0,128.283,2021-02-05 05:42:26,0.0
0.2,0.0,118.001,2021-02-05 05:42:27,0.0
0.2,0.0,147.466,2021-02-05 05:42:28,0.0
0.2,0.0,111.419,2021-02-05 05:42:29,0.0
0.2,0.0,106.672,2021-02-05 05:42:30,0.0
0.2,0.0,128.41,2021-02-05 05:42:31,0.0
0.2,0.0,139.122,2021-02-05 05:42:32,0.0
0.2,0.0,126.224,2021-02-05 05:42:33,0.0
0.2,0.0,152.452,2021-02-05 05:42:34,0.0
0.2,0.0,145.437,2021-02-05 05:42:35,0.0
0.2,0.0,124.282,2021-02-05 05:42:36,0.0
0.2,0.0,117.254,2021-02-05 05:42:37,0.0
0.2,0.0,96.092,2021-02-05 05:42:38,0.0
0.2,0.0,130.403,2021-02-05 05:42:39,0.0
0.2,0.0,139.395,2021-02-05 05:42:40,0.0
0.2,0.0,127.217,2021-02-05 05:42:41,0.0
0.2,0.0,110.258,2021-02-05 05:42:42,0.0
0.2,0.0,177.538,2021-02-05 05:42:43,0.0
0.2,0.0,169.779,2021-02-05 05:42:44,0.0
0.2,0.0,135.602,2021-02-05 05:42:45,0.0
0.2,0.0,110.909,2021-02-05 05:42:46,0.0
0.2,0.0,121.864,2021-02-05 05:42:47,0.0
0.2,0.0,103.262,2021-02-05 05:42:48,0.0
0.2,0.0,138.7,2021-02-05 05:42:49,0.0
0.2,0.0,140.41,2021-02-05 05:42:50,0.0
0.2,0.0,158.633,2021-02-05 05:42:51,0.0
0.2,0.0,133.685,2021-02-05 05:42:52,0.0
0.2,0.0,132.135,2021-02-05 05:42:53,0.0
0.2,0.0,127.473,2021-02-05 05:42:54,0.0
0.2,0.0,106.555,2021-02-05 05:42:55,0.0
0.2,0.0,140.878,2021-02-05 05:42:56,0.0
0.2,0.0,129.226,2021-02-05 05:42:57,0.0
0.2,0.0,133.617,2021-02-05 05:42:58,0.0
0.2,0.0,130.74,2021-02-05 05:42:59,0.0
0.2,0.0,107.644,2021-02-05 05:43:00,0.0
0.2,0.0,117.272,2021-02-05 05:43:01,0.0
0.2,0.0,125.637,2021-02-05 05:43:02,0.0
0.2,0.0,122.145,2021-02-05 05:43:03,0.0
0.2,0.0,130.142,2021-02-05 05:43:04,0.0
0.2,0.0,125.85,2021-02-05 05:43:05,0.0
0.2,0.0,149.512,2021-02-05 05:43:06,0.0
0.2,0.0,142.243,2021-02-05 05:43:07,0.0
0.2,0.0,135.978,2021-02-05 05:43:08,0.0
0.2,0.0,132.364,2021-02-05 05:43:09,0.0
0.2,0.0,135.161,2021-02-05 05:43:10,0.0
0.2,0.0,130.685,2021-02-05 05:43:11,0.0
0.2,0.0,140.316,2021-02-05 05:43:12,0.0
0.2,0.0,120.677,2021-02-05 05:43:13,0.0
0.2,0.0,113.5,2021-02-05 05:43:14,0.0
0.2,0.0,126.732,2021-02-05 05:43:15,0.0
0.2,0.0,136.673,2021-02-05 05:43:16,0.0
0.2,0.0,128.644,2021-02-05 05:43:17,0.0
0.2,0.0,127.324,2021-02-05 05:43:18,0.0
0.2,0.0,150.434,2021-02-05 05:43:19,0.0
0.2,0.0,141.222,2021-02-05 05:43:20,0.0
0.2,0.0,140.611,2021-02-05 05:43:21,0.0
0.2,0.0,132.141,2021-02-05 05:43:22,0.0
0.2,0.0,135.124,2021-02-05 05:43:23,0.0
0.2,0.0,128.648,2021-02-05 05:43:24,0.0
0.2,0.0,142.933,2021-02-05 05:43:25,0.0
0.2,0.0,129.288,2021-02-05 05:43:26,0.0
0.2,0.0,148.517,2021-02-05 05:43:27,0.0
0.2,0.0,152.469,2021-02-05 05:43:28,0.0
0.2,0.0,151.101,2021-02-05 05:43:29,0.0
0.2,0.0,126.765,2021-02-05 05:43:30,0.0
0.2,0.0,173.501,2021-02-05 05:43:31,0.0
0.2,0.0,147.11,2021-02-05 05:43:32,0.0
0.2,0.0,131.496,2021-02-05 05:43:33,0.0
0.2,0.0,144.481,2021-02-05 05:43:34,0.0
0.2,0.0,139.895,2021-02-05 05:43:35,0.0
0.2,0.0,113.478,2021-02-05 05:43:36,0.0
0.2,0.0,125.342,2021-02-05 05:43:37,0.0
0.2,0.0,138.98,2021-02-05 05:43:38,0.0
0.2,0.0,134.279,2021-02-05 05:43:39,0.0
0.2,0.0,165.085,2021-02-05 05:43:40,0.0
0.2,0.0,136.581,2021-02-05 05:43:41,0.0
0.2,0.0,130.244,2021-02-05 05:43:42,0.0
0.2,0.0,134.943,2021-02-05 05:43:43,0.0
0.2,0.0,129.003,2021-02-05 05:43:44,0.0
0.2,0.0,132.549,2021-02-05 05:43:45,0.0
0.2,0.0,128.945,2021-02-05 05:43:46,0.0
0.2,0.0,129.035,2021-02-05 05:43:47,0.0
0.2,0.0,131.766,2021-02-05 05:43:48,0.0
0.2,0.0,126.55,2021-02-05 05:43:49,0.0
0.2,0.0,136.771,2021-02-05 05:43:50,0.0
0.2,0.0,133.407,2021-02-05 05:43:51,0.0
0.2,0.0,120.607,2021-02-05 05:43:52,0.0
0.2,0.0,147.827,2021-02-05 05:43:53,0.0
0.2,0.0,100.976,2021-02-05 05:43:54,0.0
0.2,0.0,153.156,2021-02-05 05:43:55,0.0
0.2,0.0,135.485,2021-02-05 05:43:56,0.0
0.2,0.0,116.212,2021-02-05 05:43:57,0.0
0.2,0.0,131.26,2021-02-05 05:43:58,0.0
0.2,0.0,122.899,2021-02-05 05:43:59,0.0
0.2,0.0,122.439,2021-02-05 05:44:00,0.0
0.2,0.0,119.511,2021-02-05 05:44:01,0.0
0.2,0.0,113.152,2021-02-05 05:44:02,0.0
0.2,0.0,115.552,2021-02-05 05:44:03,0.0
0.2,0.0,141.706,2021-02-05 05:44:04,0.0
0.2,0.0,131.07,2021-02-05 05:44:05,0.0
0.2,0.0,118.522,2021-02-05 05:44:06,0.0
