ccn_conc,datetime,ccn_sursaturation,ccn_flag,pollution_flag
251.897,2021-02-05 06:29:47,0.6,0.0,0.0
291.582,2021-02-05 06:29:49,0.6,0.0,0.0
251.746,2021-02-05 06:29:59,0.6,0.0,0.0
252.388,2021-02-05 06:30:08,0.6,0.0,0.0
259.454,2021-02-05 06:30:18,0.6,0.0,0.0
261.14,2021-02-05 06:30:20,0.6,0.0,0.0
272.07,2021-02-05 06:30:22,0.6,0.0,0.0
264.645,2021-02-05 06:30:27,0.6,0.0,0.0
274.713,2021-02-05 06:30:29,0.6,0.0,0.0
261.479,2021-02-05 06:30:33,0.6,0.0,0.0
257.281,2021-02-05 06:30:34,0.6,0.0,0.0
282.064,2021-02-05 06:30:35,0.6,0.0,0.0
279.551,2021-02-05 06:30:42,0.6,0.0,0.0
253.736,2021-02-05 06:30:44,0.6,0.0,0.0
254.036,2021-02-05 06:30:51,0.6,0.0,0.0
256.865,2021-02-05 06:31:16,0.6,0.0,0.0
266.708,2021-02-05 06:31:24,0.6,0.0,0.0
275.454,2021-02-05 06:31:34,0.6,0.0,0.0
252.358,2021-02-05 06:31:44,0.6,0.0,0.0
282.238,2021-02-05 06:31:48,0.6,0.0,0.0
253.021,2021-02-05 06:32:07,0.6,0.0,0.0
258.245,2021-02-05 06:32:21,0.6,0.0,0.0
272.172,2021-02-05 06:32:53,0.6,0.0,0.0
283.078,2021-02-05 06:32:59,0.6,0.0,0.0
256.733,2021-02-05 06:33:04,0.6,0.0,0.0
252.086,2021-02-05 06:33:05,0.6,0.0,0.0
253.788,2021-02-05 06:33:23,0.6,0.0,0.0
280.06,2021-02-05 06:35:32,0.8,0.0,0.0
286.069,2021-02-05 06:35:33,0.8,0.0,0.0
305.932,2021-02-05 06:35:39,0.8,0.0,0.0
267.479,2021-02-05 06:35:41,0.8,0.0,0.0
262.05,2021-02-05 06:35:45,0.8,0.0,0.0
277.455,2021-02-05 06:35:51,0.8,0.0,0.0
256.279,2021-02-05 06:35:54,0.8,0.0,0.0
255.483,2021-02-05 06:35:57,0.8,0.0,0.0
283.53,2021-02-05 06:35:58,0.8,0.0,0.0
276.845,2021-02-05 06:36:00,0.8,0.0,0.0
260.578,2021-02-05 06:36:06,0.8,0.0,0.0
287.136,2021-02-05 06:36:07,0.8,0.0,0.0
288.195,2021-02-05 06:36:08,0.8,0.0,0.0
259.735,2021-02-05 06:36:09,0.8,0.0,0.0
263.245,2021-02-05 06:36:11,0.8,0.0,0.0
251.881,2021-02-05 06:36:12,0.8,0.0,0.0
281.597,2021-02-05 06:36:21,0.8,0.0,0.0
255.309,2021-02-05 06:36:23,0.8,0.0,0.0
257.993,2021-02-05 06:36:24,0.8,0.0,0.0
254.148,2021-02-05 06:36:38,0.8,0.0,0.0
266.483,2021-02-05 06:36:39,0.8,0.0,0.0
256.308,2021-02-05 06:36:40,0.8,0.0,0.0
255.424,2021-02-05 06:36:41,0.8,0.0,0.0
257.991,2021-02-05 06:36:46,0.8,0.0,0.0
267.211,2021-02-05 06:36:47,0.8,0.0,0.0
276.415,2021-02-05 06:36:48,0.8,0.0,0.0
274.87,2021-02-05 06:36:50,0.8,0.0,0.0
267.824,2021-02-05 06:36:55,0.8,0.0,0.0
274.07,2021-02-05 06:36:56,0.8,0.0,0.0
