datetime,ccn_conc,pollution_flag,ccn_flag,ccn_sursaturation
2021-02-06 12:02:46,124.751,0.0,0.0,0.2
2021-02-06 12:02:48,136.051,0.0,0.0,0.2
2021-02-06 12:02:52,115.365,0.0,0.0,0.2
2021-02-06 12:02:55,119.625,0.0,0.0,0.2
2021-02-06 12:02:56,113.034,0.0,0.0,0.2
2021-02-06 12:03:06,135.932,0.0,0.0,0.2
2021-02-06 12:03:19,110.606,0.0,0.0,0.2
2021-02-06 12:03:21,152.217,0.0,0.0,0.2
2021-02-06 12:03:48,114.558,0.0,0.0,0.2
2021-02-06 12:04:01,131.029,0.0,0.0,0.2
2021-02-06 12:04:07,125.271,0.0,0.0,0.2
2021-02-06 12:04:08,140.992,0.0,0.0,0.2
2021-02-06 12:04:27,138.544,0.0,0.0,0.2
2021-02-06 12:04:32,139.361,0.0,0.0,0.2
2021-02-06 12:04:47,107.959,0.0,0.0,0.2
2021-02-06 12:05:00,139.337,0.0,0.0,0.2
2021-02-06 12:06:54,133.343,0.0,0.0,0.2
2021-02-06 12:06:55,128.944,0.0,0.0,0.2
2021-02-06 12:06:56,124.897,0.0,0.0,0.2
2021-02-06 12:06:57,170.316,0.0,0.0,0.2
2021-02-06 12:06:58,138.036,0.0,0.0,0.2
2021-02-06 12:07:00,125.455,0.0,0.0,0.2
2021-02-06 12:07:03,130.763,0.0,0.0,0.2
2021-02-06 12:07:04,164.93,0.0,0.0,0.2
2021-02-06 12:07:05,147.937,0.0,0.0,0.2
2021-02-06 12:07:06,144.589,0.0,0.0,0.2
2021-02-06 12:07:07,131.547,0.0,0.0,0.2
2021-02-06 12:07:08,133.102,0.0,0.0,0.2
2021-02-06 12:07:10,127.214,0.0,0.0,0.2
2021-02-06 12:07:11,117.88,0.0,0.0,0.2
2021-02-06 12:07:12,111.843,0.0,0.0,0.2
2021-02-06 12:07:13,144.179,0.0,0.0,0.2
2021-02-06 12:07:15,141.219,0.0,0.0,0.2
2021-02-06 12:07:16,115.934,0.0,0.0,0.2
2021-02-06 12:07:17,130.67,0.0,0.0,0.2
2021-02-06 12:07:18,142.339,0.0,0.0,0.2
2021-02-06 12:07:21,128.72,0.0,0.0,0.2
2021-02-06 12:07:22,134.936,0.0,0.0,0.2
2021-02-06 12:07:23,141.441,0.0,0.0,0.2
2021-02-06 12:07:24,141.604,0.0,0.0,0.2
2021-02-06 12:07:25,114.799,0.0,0.0,0.2
2021-02-06 12:07:28,113.091,0.0,0.0,0.2
2021-02-06 12:07:30,142.218,0.0,0.0,0.2
2021-02-06 12:07:31,121.784,0.0,0.0,0.2
2021-02-06 12:07:33,120.515,0.0,0.0,0.2
2021-02-06 12:07:36,164.458,0.0,0.0,0.2
2021-02-06 12:07:37,156.088,0.0,0.0,0.2
2021-02-06 12:07:39,126.76,0.0,0.0,0.2
2021-02-06 12:07:40,131.375,0.0,0.0,0.2
2021-02-06 12:07:42,150.229,0.0,0.0,0.2
2021-02-06 12:07:45,148.241,0.0,0.0,0.2
2021-02-06 12:07:48,138.714,0.0,0.0,0.2
2021-02-06 12:07:49,103.067,0.0,0.0,0.2
2021-02-06 12:07:50,116.039,0.0,0.0,0.2
2021-02-06 12:07:52,151.088,0.0,0.0,0.2
2021-02-06 12:07:53,117.964,0.0,0.0,0.2
2021-02-06 12:07:54,145.216,0.0,0.0,0.2
2021-02-06 12:07:55,140.322,0.0,0.0,0.2
2021-02-06 12:07:56,137.853,0.0,0.0,0.2
2021-02-06 12:07:57,131.022,0.0,0.0,0.2
2021-02-06 12:07:58,141.232,0.0,0.0,0.2
2021-02-06 12:07:59,149.206,0.0,0.0,0.2
2021-02-06 12:08:00,135.066,0.0,0.0,0.2
2021-02-06 12:08:01,118.742,0.0,0.0,0.2
2021-02-06 12:08:04,121.126,0.0,0.0,0.2
2021-02-06 12:08:06,164.812,0.0,0.0,0.2
2021-02-06 12:08:07,150.259,0.0,0.0,0.2
2021-02-06 12:08:08,145.914,0.0,0.0,0.2
2021-02-06 12:08:09,115.97,0.0,0.0,0.2
2021-02-06 12:08:14,140.494,0.0,0.0,0.2
2021-02-06 12:08:15,137.409,0.0,0.0,0.2
2021-02-06 12:08:16,134.289,0.0,0.0,0.2
2021-02-06 12:08:17,122.117,0.0,0.0,0.2
2021-02-06 12:08:18,126.386,0.0,0.0,0.2
2021-02-06 12:08:20,125.978,0.0,0.0,0.2
2021-02-06 12:08:21,153.459,0.0,0.0,0.2
2021-02-06 12:08:23,134.397,0.0,0.0,0.2
2021-02-06 12:08:24,128.157,0.0,0.0,0.2
2021-02-06 12:08:25,139.759,0.0,0.0,0.2
2021-02-06 12:08:26,130.339,0.0,0.0,0.2
2021-02-06 12:08:29,132.704,0.0,0.0,0.2
2021-02-06 12:12:27,140.415,0.0,0.0,0.4
2021-02-06 12:12:28,145.579,0.0,0.0,0.4
2021-02-06 12:12:29,148.115,0.0,0.0,0.4
2021-02-06 12:12:31,144.912,0.0,0.0,0.4
2021-02-06 12:12:33,140.167,0.0,0.0,0.4
